Question,Answer,Source
Can you tell me a bit about Harare Institute of Technology/HIT?,The Harare Institute of Technology (HIT) was granted university status in 2005. Harare Institute of Technology is the hub of technology development and delivery of quality technology programmes. HIT is Zimbabwe's most energetic and responsive institute, offering unparalleled educational opportunities for those seeking highest quality undergraduate, postgraduate and continuous professional development studies.,AA1.docx
Which programs are offered at the University/HIT/Harare Institute of Technology?,Electronic Commerce, Financial Engineering, Software Engineering, Chemical and Process Systems Engineering, Polymer Technology and Engineering and Information Security and Assurance.,AA1.docx
Which schools do you offer at the university?,The Institute has four Schools with the following departments:  \n**School of Engineering and Technology**  \n Industrial and Manufacturing Engineering  \n Electronic Engineering  \n Chemical and Process Systems Engineering  \n Materials Technology & Engineering  \n Polymer Technology & Engineering  \n**School of Industrial Sciences and Technology**  \n Food Processing Technology  \n Biotechnology  \n Pharmaceutical Technology  \n**School of Information Science and Technology**  \n Computer Science  \n Information Security & Assurance  \n Information Technology  \n Software Engineering  \n**School of Business and Management Sciences**  \n Financial Engineering  \n Electronic Commerce  \n Forensic Accounting & Auditing,AA1.docx
What requirements are needed for me to qualify to apply?,The minimum entry requirements for undergraduate programs are two "A" level passes and 5 'O' levels including English Language, Mathematics and a Science subject. Specific subjects and qualifications shall be as per program specifications.,AA1.docx
What requirements do l need if l have a diploma?,Please note that ND plus two years work experience and HND in relevant areas will be accepted in some programmes.,AA1.docx
What requirements do l need to apply if lam not from Zimbabwe/Zimbabwean?,International students may be required to undergo oral and written communication skills tests to assess their proficiency in English. English shall be the official language of instruction.,AA1.docx
How do l apply for a place at HIT/Harare Institute of Technology,Application forms for admission are either obtained from the University Academic Registry or downloaded from the website **www.hit.ac.zw.**  \n**SECURITY**,AA1.docx
What time does the small gate closes at night?,It closes at 10 o'clock after that you have to use the main gate,AA1.docx
What should l do if l lost something?,If you lose something, first alert the security guards and they will direct you from there,AA1.docx
Do the CCTV cameras work?,The CCTV cameras work and they are installed at certain points including hostels, car park, library, canteen, classroom halls and administration block.,AA1.docx
What happens if l lose or if my school ID is stolen?,Approach the school guards they will help you to find it.,AA1.docx
What happens if l lose my ID and lam fined $5 because lam not displaying it?,If you have notified the security team then the fine is revoked but if you did not you will have to pay since we assume that you do not want to display your idea on purpose.  \n **HOSTELS**,AA1.docx
Am l allowed to bring friends over to the hostels?,Yes you are allowed to bring someone to the hostels but sleepovers are not allowed/squattering,AA1.docx
What time does the curfew ends?,Curfew ends at 22:00,AA1.docx
Are boys allowed to visit girls at their hostels?,Yes boys are allowed to visit girls as long as it is time between 10:00 and 2200,AA1.docx
Are girls allowed to visit boys at their hostels?,Yes girls are allowed to visit boys as long as it is time between 10:00 and 2200,AA1.docx
What happens if people fight in the halls of residence/rez/hostels?,The ordinance dictates that they are expelled from the school. Fighting is not allowed.,AA1.docx
What happens when someone gets sick in the hostels/rez?,You should visit the clinic immediately,AA1.docx
Where can l find the HIT clinic?,The clinic is found at the ground floor of Hostel 4,AA1.docx
How many hostels do girls occupy/live in? Which hostels do girls live in?,Girls live in Hostel 4 and Hostel 1,AA1.docx
How many hostels do boys occupy/live in? Which hostels do boys live in?,Boys live in Hostel 4 and Hostel 1,AA1.docx
What happens when something is broken or not functioning well in the hostels?,Consult the hostel sub warden he/she will give you forms to fill in so that the people at maintenance will help you.  \n**LIBRARY**  \n**CANTEEN**,AA1.docx
What should l do if the food at the canteen is not good?,You should approach the canteen supervisor and inform him the issues with the food.,AA1.docx
What food do you offer at the canteen on lunch?,The food we offer on lunch is the same as the food we offer during supper.,AA1.docx
Do you have sadza on your menu?,Yes we offer sadza with a combination of either beef or chicken with vegetables on the side.,AA1.docx
What vegetables do you offer?,We offer rape and cabbage,AA1.docx
Do you have any salads?,yes we do, coleslaw,AA1.docx
Do you offer any food besides sadza and rice?,Yes we do, we offer chicken or beef and chips although it comes at a price. Chicken or beef with chips costs $2,50,AA1.docx
Am l allowed a refill if food is not enough or if lam not full?,Now we do not,AA1.docx
Why we are not allowed to self-serve ourselves at the canteen?,It will cause commotion that's the reason we have for now,AA1.docx
What happens if lam given a plate of food with food that l do not want?,Talk with the workers who handed the food to you they will help you,AA1.docx
How much is a plate of rice and beans,It costs $0.50,AA1.docx
What happens if l want to pay for food using ecocash or a Point of Sale,You can pay at the finance department and they will give you a receipt and we at the canteen will give you tickets,AA1.docx
Can you offer other foods besides rice, sadza, chicken, chips, beans, vegetables?,No we do not offer foods besides rice, sadza, chicken, chips, beans, vegetables,AA1.docx
Do you offer pizza, pies, hotdogs, ?,No we do not offer those foods but you can get hotdogs from the school tuckshop,AA1.docx
What food is offered at breakfast?,Breakfast includes bread, sausage, baked beans, eggs and tea of course,AA1.docx
How many slices of bread am l allowed to eat?,You can take as many slices of bread as you like,AA1.docx
What happens if l do not eat the foods that are listed for breakfast?,You have to consult the canteen supervisor and he will assist you by giving you alternatives like rice and eggs but we need a solid reason as to why you do not eat those foods. A recommendation from the doctor will do.,AA1.docx
What time do we have breakfast?,Breakfast starts at 07:00 up to 08:00 on week days and 08:00 to 09:00 during weekends,AA1.docx
What time does the canteen open on national holidays?,Breakfast starts at 08:00 up to 09:00,AA1.docx
What time is the lunch/canteen open in the afternoon?,It opens at 12:30 up to 14:00,AA1.docx
What happens if l come to the canteen at 1 o'clock in the afternoon?,The canteen will be open for lunch,AA1.docx
What time does the canteen close?,The canteen closes at 18:30 after supper,AA1.docx
Am l allowed to take food out of the canteen in lunchboxes?,Yes you are allowed though it is not recommended since there are some health harzads.,AA1.docx
Health harzads like what?,If the lunchboxes are not cleaned properly, they may cause diseases like typhoid.,AA1.docx
Doesn't sharing spoons and forks (cutlery) spread diseases?,No it does not as our cutlery is cleaned using detergents,AA1.docx
Do you have potatoes on your menu?,Yes we have it only in the form of potato chips,AA1.docx
Do you have pork on your menu?,No we do not offer pork but you can try our nice beef  \n**GREETINGS**  \nHie  \nHie how are you doing  \nHello/hey,AA1.docx
How are you today,Ok thanks  \nIts my pleasure  \nThank you for your help  \nOk have a good one,AA1.docx
How do you do,Kkkkkkkkkk  \nI do not know what that means,AA1.docx
Hi,Hello,Editorial
